wmask fmask
4403.3732789999995 0.418
4403.9738130000005 0.341
4404.282424 0.553
4404.759219 0.935
4405.0075560000005 0.737
4405.384479 0.296
4405.7298599999995 0.305
4406.131426 0.254
4406.647341 0.662
4406.997541 0.095
4407.691156 0.892
4408.203004 0.701
4408.443014 0.873
4408.615475 0.17
4409.126316 0.486
4409.235656 0.36
4409.520007 0.464
4410.294197 0.183
4410.523141 0.585
4411.084457 0.519
4411.926776 0.501
4412.2494289999995 0.362
4413.391116 0.103
4413.598818 0.393
4413.842805 0.276
4414.221688 0.197
4414.485514 0.2
4414.901075 0.731
4415.132227 0.926
4415.555852 0.831
4415.778200000001 0.149
4416.470442 0.37
4416.8245050000005 0.718
4417.286791 0.472
4417.715416 0.86
4418.346989 0.659
4418.77689 0.174
4419.089372 0.136
4420.286212000001 0.371
4420.667482 0.201
4421.323721000001 0.191
4421.5694619999995 0.373
4421.750472 0.247
